,index,Movie,P_Genre,S_Genre,T_Genre,Cluster_Id
204,206,khuda haafiz chapter ii: agni pariksha,2,8,0,9
205,207,eragon,2,15,3,32
206,208,infinite,2,13,18,87
207,209,ready player one,2,15,17,2
208,210,star wars: episode vii - the force awakens,2,15,17,2
209,211,willow,2,15,0,6
210,212,venom,2,15,17,2
211,213,natural born killers,2,8,0,9
212,214,point break,2,8,18,22
213,215,pirates of the caribbean: dead man's chest,2,15,1,34
214,216,the karate kid,2,4,3,99
215,217,san andreas,2,15,18,56
216,218,john carter,2,15,17,2
217,220,the guest,2,7,18,74
218,221,x-men: apocalypse,2,15,17,2
219,222,wonder woman 1984,2,15,1,34
220,223,overlord,2,1,17,12
221,224,black panther: wakanda forever,2,15,0,6
222,233,barbie,8,5,1,73
223,234,the sea beast,0,15,13,23
224,236,minions: the rise of gru,0,15,13,23
225,239,sing 2,0,15,13,23
226,247,the bad guys,0,15,13,23
227,249,ghostbusters: afterlife,8,5,1,73
228,254,interstellar,8,4,17,82
229,261,vr (vikrant rona),8,4,8,88
230,263,harry potter and the sorcerer's stone,8,10,1,14
231,265,the bob's burgers movie,0,15,13,23
232,266,the goonies,8,5,3,70
233,271,inglourious basterds,8,4,9,44
234,275,beast,8,4,5,62
235,293,the blue lagoon,8,4,16,82
236,308,back to the future,8,5,17,36
237,309,chip 'n dale: rescue rangers,0,15,13,23
238,310,minions,0,15,13,23
239,314,the little mermaid,8,10,1,14
240,315,the princess bride,8,10,1,14
241,318,turning red,0,15,13,23
242,319,luck,0,15,13,23
243,320,the grand budapest hotel,8,5,2,24
244,323,deliverance,8,4,18,80
245,328,pinocchio,8,5,0,16
246,333,green lantern: beware my power,0,15,17,69
247,341,moana,0,15,13,23
248,342,barry lyndon,8,4,9,44
249,347,almost famous,8,5,0,16
250,350,cars,0,15,13,23
251,352,ratatouille,0,15,13,23
252,353,despicable me,0,15,13,23
253,357,fantastic beasts: the crimes of grindelwald,8,10,1,14
254,359,mysterious island,8,10,1,14
255,362,the lion king,0,15,0,78
256,363,stardust,8,10,1,14
257,366,harry potter and the goblet of fire,8,10,1,14
258,369,idiocracy,8,5,17,36
259,372,sen to chihiro no kamikakushi,0,15,3,61
260,376,cruella,8,5,2,24
261,378,annihilation,8,4,5,62
262,384,the parent trap,8,5,0,16
263,385,beauty and the beast,8,10,1,14
264,389,time bandits,8,5,1,73
265,390,the green knight,8,4,1,73
266,391,ad astra,8,4,8,88
267,393,harry potter and the chamber of secrets,8,10,1,14
268,396,harry potter and the deathly hallows: part 2,8,9,8,35
269,398,harry potter and the deathly hallows: part 1,8,10,1,14
270,400,the railway children return,8,4,3,65
271,406,prometheus,8,7,17,71
272,410,harry potter and the prisoner of azkaban,8,10,1,14
273,417,the neverending story,8,4,3,65
274,420,toy story,0,15,13,23
275,423,the wizard of oz,8,10,1,14
276,424,transformers: the last knight,2,15,17,2
277,425,iron man three,2,15,17,2
278,426,goldfinger,2,15,18,56
279,427,the lost world: jurassic park,2,15,17,2
280,428,aladdin,8,5,3,70
281,429,fantastic beasts and where to find them,8,10,1,14
282,430,zootopia,0,15,13,23
283,431,wonder woman,2,15,1,34
284,432,jungle cruise,2,15,13,8
285,433,star wars: episode viii - the last jedi,2,15,1,34
286,434,the dirty dozen,2,15,9,49
287,435,tomb raider,2,15,1,34
288,437,e.t. the extra-terrestrial,8,10,17,45
289,438,jurassic park iii,2,15,17,2
290,439,wonka,8,5,3,70
291,440,time after time,8,4,17,82
292,441,sonic the hedgehog,2,15,13,8
293,442,scooby-doo,8,5,3,70
294,443,hercules,0,15,13,23
295,444,the amazing spider-man 2,2,15,17,2
296,445,speed,2,15,18,56
297,446,terminator genisys,2,15,17,2
298,447,jumanji: welcome to the jungle,2,15,13,8
299,448,avengers: the kang dynasty,2,15,17,2
300,449,star wars: episode ii - attack of the clones,2,15,1,34
301,450,knights of the zodiac,2,15,0,6
302,451,the blues brothers,2,15,13,8
303,452,into the wild,8,6,0,16
304,453,"the chronicles of narnia: the lion, the witch and the wardrobe",8,10,1,14
305,454,777 charlie,8,5,0,16
306,455,kate,2,15,2,32
307,456,spider-man 3,2,15,17,2
308,457,secret headquarters,2,15,13,8
